Event,Description,Resource,Category,StartDate,EndDate
Event-0164,Pellentesque in ipsum id orci porta dapibus. Consectetur adipiscing elit. Nunc non blandit massa.,zidei,Event,2024-01-03T08:30:00,2024-01-03T09:45:00
Event-0165,Nunc non blandit massa. Vivamus suscipit tortor eget felis.,ijyta,PTO,2024-09-22T15:15:00,2024-09-22T19:00:00
Event-0166,Pellentesque in ipsum id orci porta dapibus. Aliquam erat volutpat. Lorem ipsum dolor sit amet. Proin eget tortor risus.,zhaou,,2024-11-06T15:00:00,2024-11-06T16:15:00
Event-0167,Mauris in aliquam sem. Aliquam erat volutpat. Vivamus suscipit tortor eget felis.,,Travel,2024-12-25T17:45:00,2024-12-25T21:15:00
Event-0168,In faucibus orci luctus et. Curabitur non nulla sit amet. Mauris in aliquam sem. Sed do eiusmod tempor incididunt.,bicfx,Travel,2024-05-23T09:15:00,2024-05-23T10:15:00
Event-0169,In faucibus orci luctus et. Aliquam erat volutpat.,dzpvb,Travel,2024-09-18T11:15:00,2024-09-18T13:00:00
Event-0170,Duis ultricies lacus sed turpis. Pellentesque in ipsum id orci porta dapibus. Donec sollicitudin molestie malesuada.,myttt,Event,2024-10-29T08:00:00,2024-10-29T10:15:00
Event-0171,Aliquam erat volutpat. Sed do eiusmod tempor incididunt.,twbce,Travel,2024-08-20T10:15:00,2024-08-20T14:15:00
Event-0172,Pellentesque habitant morbi tristique. Curabitur non nulla sit amet.,hlibp,PTO,2024-10-14T12:45:00,2024-10-14T16:15:00
Event-0173,Pellentesque habitant morbi tristique. Ut labore et dolore magna aliqua.,,Event,2024-01-12T16:15:00,2024-01-12T17:30:00
Event-0174,In faucibus orci luctus et. Pellentesque in ipsum id orci porta dapibus. Donec sollicitudin molestie malesuada. Ut labore et dolore magna aliqua.,vqbuo,PTO,2024-11-27T14:30:00,2024-11-27T17:15:00
Event-0175,Aliquam erat volutpat. Proin eget tortor risus.,ylldz,Event,2024-09-30T13:15:00,2024-09-30T15:45:00
Event-0176,Donec sollicitudin molestie malesuada. Mauris in aliquam sem. Pellentesque in ipsum id orci porta dapibus.,evbmd,PTO,2024-03-10T00:00:00,2024-03-12T00:00:00
Event-0177,Lorem ipsum dolor sit amet. Consectetur adipiscing elit. In faucibus orci luctus et.,vqbuo,Travel,2024-02-09T00:00:00,2024-02-10T00:00:00
Event-0178,Nunc non blandit massa. Aliquam erat volutpat. Pellentesque habitant morbi tristique. Duis ultricies lacus sed turpis.,arruw,PTO,2024-08-08T16:00:00,2024-08-08T17:30:00
Event-0179,Donec sollicitudin molestie malesuada. Ut labore et dolore magna aliqua. Nunc non blandit massa.,xebgw,Travel,2024-06-12T00:00:00,2024-06-17T00:00:00
Event-0180,Nunc non blandit massa. Proin eget tortor risus. Duis ultricies lacus sed turpis. Lorem ipsum dolor sit amet.,,Travel,2024-03-11T11:15:00,2024-03-11T15:00:00
Event-0181,Duis ultricies lacus sed turpis. Donec sollicitudin molestie malesuada. Pellentesque in ipsum id orci porta dapibus.,itzyj,Meeting,2024-10-29T08:30:00,2024-10-29T09:30:00
Event-0182,Vivamus suscipit tortor eget felis. Aliquam erat volutpat. Duis ultricies lacus sed turpis. Lorem ipsum dolor sit amet.,qzjng,Event,2024-02-05T00:00:00,2024-02-06T00:00:00
Event-0183,Donec sollicitudin molestie malesuada. Vivamus suscipit tortor eget felis. Proin eget tortor risus. Ut labore et dolore magna aliqua.,zomdf,PTO,2024-08-28T10:30:00,2024-08-28T12:00:00
Event-0184,Lorem ipsum dolor sit amet. Mauris in aliquam sem. Duis ultricies lacus sed turpis.,myttt,PTO,2024-04-12T00:00:00,2024-04-15T00:00:00
Event-0185,Lorem ipsum dolor sit amet. Curabitur non nulla sit amet.,twbce,Event,2024-12-30T13:15:00,2024-12-30T14:00:00
Event-0186,Consectetur adipiscing elit. Mauris in aliquam sem. Pellentesque habitant morbi tristique. Pellentesque in ipsum id orci porta dapibus.,zsxym,,2024-09-15T00:00:00,2024-09-17T00:00:00
Event-0187,Mauris in aliquam sem. Aliquam erat volutpat.,lgjtf,Travel,2024-01-28T00:00:00,2024-02-02T00:00:00
Event-0188,Donec sollicitudin molestie malesuada. Curabitur non nulla sit amet. Proin eget tortor risus. Mauris in aliquam sem.,acfbm,PTO,2024-05-10T08:00:00,2024-05-10T11:45:00
Event-0189,Curabitur non nulla sit amet. Consectetur adipiscing elit. Proin eget tortor risus.,hlibp,Travel,2024-02-05T16:45:00,2024-02-05T17:45:00
Event-0190,Curabitur non nulla sit amet. Pellentesque in ipsum id orci porta dapibus.,zsxym,Travel,2024-06-22T16:00:00,2024-06-22T17:45:00
Event-0191,Mauris in aliquam sem. Vivamus suscipit tortor eget felis. Pellentesque in ipsum id orci porta dapibus.,mrmdj,PTO,2024-07-27T11:15:00,2024-07-27T12:45:00
Event-0192,Ut labore et dolore magna aliqua. Proin eget tortor risus. Lorem ipsum dolor sit amet.,abdrm,,2024-02-16T17:45:00,2024-02-16T20:15:00
Event-0193,Mauris in aliquam sem. In faucibus orci luctus et.,nxppc,Meeting,2024-05-25T09:45:00,2024-05-25T12:30:00
Event-0194,Duis ultricies lacus sed turpis. Ut labore et dolore magna aliqua.,,Event,2024-10-11T00:00:00,2024-10-12T00:00:00
Event-0195,Sed do eiusmod tempor incididunt. Aliquam erat volutpat. Proin eget tortor risus. Pellentesque in ipsum id orci porta dapibus.,deuzz,PTO,2024-09-22T00:00:00,2024-09-26T00:00:00
Event-0196,Aliquam erat volutpat. Ut labore et dolore magna aliqua. Duis ultricies lacus sed turpis. Nunc non blandit massa.,cirqy,Event,2024-02-19T09:15:00,2024-02-19T09:45:00
Event-0197,Pellentesque in ipsum id orci porta dapibus. Lorem ipsum dolor sit amet. Consectetur adipiscing elit.,,PTO,2024-12-13T14:00:00,2024-12-13T16:00:00
Event-0198,Mauris in aliquam sem. Vivamus suscipit tortor eget felis.,jwjdb,,2024-08-27T10:45:00,2024-08-27T14:45:00
Event-0199,Ut labore et dolore magna aliqua. Donec sollicitudin molestie malesuada. Mauris in aliquam sem. Curabitur non nulla sit amet.,mrmdj,Travel,2024-08-25T00:00:00,2024-08-28T00:00:00
Event-0200,Pellentesque habitant morbi tristique. Proin eget tortor risus. Vivamus suscipit tortor eget felis.,obams,Travel,2024-12-22T10:45:00,2024-12-22T13:30:00
